Year,Age ,Sex,People ,
2041,50,1,62700893,
2042,50,1,60355539,
2043,50,1,58427771,
2044,50,1,56173726,
2045,50,1,51887422,
2046,50,1,50620110,
2047,50,1,49347858,
2048,50,1,47994097,
2049,50,1,46298252,
2050,50,1,44414318,
2051,50,1,42696006,
2052,50,1,41292953,
2053,50,1,40094553,
2054,50,1,39222477,
2055,50,1,38777838,
2056,50,1,38616442,
2057,50,1,38815819,
2058,50,1,39470146,
2059,50,1,40257722,
2060,50,1,40938551,
2061,50,1,41548070,
2062,50,1,42327520,
2063,50,1,42609765,
2064,50,1,42504302,
2065,50,1,42001136,
2066,50,1,41782238,
2067,50,1,41939739,
2068,50,1,41573738,
2069,50,1,40850909,
2070,50,1,39762053,
2071,50,1,38465816,
2072,50,1,36866892,
2073,50,1,35604728,
2074,50,1,35031734,
2075,50,1,35115210,
2076,50,1,34847942,
2077,50,1,34053510,
2078,50,1,33461092,
2079,50,1,32656189,
2080,50,1,31789428,
2081,50,1,31119956,
2082,50,1,30512409,
2083,50,1,29984459,
2084,50,1,29536810,
2085,50,1,29182406,
2086,50,1,28907935,
2087,50,1,28700234,
2088,50,1,28554119,
2089,50,1,28453767,
2090,50,1,28389671,
2091,50,1,28348814,
2092,50,1,28317919,
2093,50,1,28284798,
2094,50,1,28243896,
2095,50,1,28198625,
2096,50,1,28141129,
2097,50,1,28047193,
2098,50,1,27908238,
2099,50,1,27734766,
2100,50,1,27540391,
1990,55,1,21877803,
1991,55,1,22345871,
1992,55,1,22774933,
1993,55,1,22918016,
1994,55,1,22816162,
1995,55,1,22900476,
1996,55,1,22995154,
1997,55,1,23097607,
1998,55,1,23012776,
1999,55,1,23353719,
2000,55,1,23792549,
2001,55,1,24307875,
2002,55,1,25294382,
2003,55,1,26585834,
2004,55,1,27922226,
2005,55,1,30187935,
2006,55,1,31714245,
2007,55,1,33872019,
2008,55,1,35964748,
2009,55,1,38300961,
2010,55,1,40087107,
2011,55,1,41479891,
2012,55,1,42176318,
2013,55,1,43157530,
2014,55,1,41374074,
2015,55,1,39078680,
2016,55,1,36113598,
2017,55,1,34908471,
2018,55,1,38596796,
2019,55,1,43502083,
2020,55,1,48041244,
2021,55,1,54311280,
2022,55,1,57542897,
2023,55,1,56548090,
2024,55,1,57640733,
2025,55,1,58515502,
2026,55,1,59196363,
2027,55,1,59990529,
2028,55,1,59736965,
2029,55,1,57827481,
2030,55,1,55610410,
2031,55,1,52762334,
2032,55,1,50236881,
2033,55,1,47688550,
2034,55,1,45886922,
2035,55,1,44903942,
2036,55,1,44144963,
2037,55,1,46695595,
2038,55,1,47574966,
2039,55,1,48031897,
2040,55,1,48545554,
2041,55,1,50438064,
2042,55,1,51562841,
2043,55,1,53873111,
2044,55,1,56709166,
2045,55,1,61404432,
2046,55,1,61586275,
2047,55,1,59303192,
2048,55,1,57427871,
2049,55,1,55234191,
2050,55,1,51050376,
2051,55,1,49823629,
2052,55,1,48588543,
2053,55,1,47271613,
2054,55,1,45617220,
2055,55,1,43776781,
2056,55,1,42098067,
2057,55,1,40728436,
2058,55,1,39559727,
2059,55,1,38712280,
2060,55,1,38286218,
2061,55,1,38138953,
2062,55,1,38347516,
2063,55,1,39005607,
2064,55,1,39795010,
2065,55,1,40478545,
2066,55,1,41090857,
2067,55,1,41871845,
2068,55,1,42160876,
2069,55,1,42065657,
2070,55,1,41575826,
2071,55,1,41367843,
2072,55,1,41534808,
2073,55,1,41181091,
2074,55,1,40471954,
2075,55,1,39397868,
2076,55,1,38119353,
2077,55,1,36543803,
2078,55,1,35300371,
2079,55,1,34739396,
2080,55,1,34827622,
2081,55,1,34567258,
2082,55,1,33784569,
2083,55,1,33201555,
2084,55,1,32407795,
2085,55,1,31552458,
2086,55,1,30892346,
2087,55,1,30293486,
2088,55,1,29773448,
2089,55,1,29332943,
2090,55,1,28984762,
2091,55,1,28715731,
2092,55,1,28512891,
2093,55,1,28371136,
2094,55,1,28274726,
2095,55,1,28214183,
2096,55,1,28176576,
2097,55,1,28148787,
2098,55,1,28118736,
2099,55,1,28080864,
2100,55,1,28038534,
1990,60,1,17505698,
1991,60,1,18076753,
1992,60,1,18601829,
1993,60,1,19135701,
1994,60,1,19815900,
1995,60,1,20075234,
1996,60,1,20530576,
1997,60,1,20948216,
1998,60,1,21108410,
1999,60,1,21039192,
2000,60,1,21141623,
2001,60,1,21254826,
2002,60,1,21372260,
2003,60,1,21314891,
2004,60,1,21653428,
2005,60,1,22088470,
2006,60,1,22599756,
2007,60,1,23553095,
2008,60,1,24786595,
2009,60,1,26063817,
2010,60,1,28220750,
2011,60,1,29677330,
2012,60,1,31746812,
2013,60,1,33755429,
2014,60,1,35997471,
2015,60,1,37739147,
2016,60,1,39083189,
2017,60,1,39787327,
2018,60,1,40763737,
2019,60,1,39107280,
2020,60,1,36971801,
2021,60,1,34170734,
2022,60,1,33063709,
2023,60,1,36658372,
2024,60,1,41370609,
2025,60,1,45732362,
2026,60,1,51727515,
2027,60,1,54848252,
2028,60,1,54001337,
2029,60,1,55137993,
2030,60,1,56049900,
2031,60,1,56775752,
2032,60,1,57588445,
2033,60,1,57397485,
2034,60,1,55619267,
2035,60,1,53533417,
2036,60,1,50838425,
2037,60,1,48446565,
2038,60,1,46031912,
2039,60,1,44338164,
2040,60,1,43430002,
2041,60,1,42732545,
2042,60,1,45253279,
2043,60,1,46136530,
2044,60,1,46608934,
2045,60,1,47135364,
2046,60,1,49003568,
2047,60,1,50154054,
2048,60,1,52437720,
2049,60,1,55229940,
2050,60,1,59838853,
2051,60,1,60033360,
2052,60,1,57834354,
2053,60,1,56029759,
2054,60,1,53918119,
2055,60,1,49875550,
2056,60,1,48703641,
2057,60,1,47518877,
2058,60,1,46252015,
2059,60,1,44654400,
2060,60,1,42873839,
2061,60,1,41249679,
2062,60,1,39926036,
2063,60,1,38798152,
2064,60,1,37984435,
2065,60,1,37583557,
2066,60,1,37455210,
2067,60,1,37675655,
2068,60,1,38337852,
2069,60,1,39128613,
2070,60,1,39814812,
2071,60,1,40429977,
2072,60,1,41211980,
2073,60,1,41509673,
2074,60,1,41428221,
2075,60,1,40956773,
2076,60,1,40763655,
2077,60,1,40943220,
2078,60,1,40606432,
2079,60,1,39916483,
2080,60,1,38863407,
2081,60,1,37610200,
2082,60,1,36068093,
2083,60,1,34851427,
2084,60,1,34307383,
2085,60,1,34401946,
2086,60,1,34151205,
2087,60,1,33385307,
2088,60,1,32815686,
2089,60,1,32037931,
2090,60,1,31199061,
2091,60,1,30552401,
2092,60,1,29966022,
2093,60,1,29457337,
2094,60,1,29027059,
2095,60,1,28687764,
2096,60,1,28426472,
2097,60,1,28230522,
2098,60,1,28094912,
2099,60,1,28004041,
2100,60,1,27948468,
1990,65,1,12934985,
1991,65,1,13286262,
1992,65,1,13638273,
1993,65,1,14343919,
1994,65,1,14679521,
1995,65,1,15208368,
1996,65,1,15746549,
1997,65,1,16243537,
1998,65,1,16763087,
1999,65,1,17403235,
2000,65,1,17676315,
2001,65,1,18119698,
2002,65,1,18525769,
2003,65,1,18709790,
2004,65,1,18683338,
2005,65,1,18806616,
2006,65,1,18942840,
2007,65,1,19081937,
2008,65,1,19063200,
2009,65,1,19397958,
2010,65,1,19822563,
2011,65,1,20320414,
2012,65,1,21223454,
2013,65,1,22377842,
2014,65,1,23579211,
2015,65,1,25597920,
2016,65,1,26972484,
2017,65,1,28926018,
2018,65,1,30822352,
2019,65,1,32937292,
2020,65,1,34605585,
2021,65,1,35861518,
2022,65,1,36534314,
2023,65,1,37464195,
2024,65,1,35964131,
2025,65,1,34056182,
2026,65,1,31517605,
2027,65,1,30599052,
2028,65,1,34119412,
2029,65,1,38607038,
2030,65,1,42745092,
2031,65,1,48373236,
2032,65,1,51316022,
2033,65,1,50624355,
2034,65,1,51791060,
2035,65,1,52727474,
2036,65,1,53489642,
2037,65,1,54306454,
2038,65,1,54183798,
2039,65,1,52572568,
2040,65,1,50657540,
2041,65,1,48166246,
2042,65,1,45952174,
2043,65,1,43716832,
2044,65,1,42167734,
2045,65,1,41358540,
2046,65,1,40741656,
2047,65,1,43215758,
2048,65,1,44097937,
2049,65,1,44585675,
2050,65,1,45123697,
2051,65,1,46950966,
2052,65,1,48135220,
2053,65,1,50374969,
2054,65,1,53097523,
2055,65,1,57575418,
2056,65,1,57778833,
2057,65,1,55694479,
2058,65,1,53985837,
2059,65,1,51988441,
2060,65,1,48150396,
2061,65,1,47054481,
2062,65,1,45939019,
2063,65,1,44741500,
2064,65,1,43223903,
2065,65,1,41528715,
2066,65,1,39982526,
2067,65,1,38724392,
2068,65,1,37654748,
2069,65,1,36889020,
2070,65,1,36523595,
2071,65,1,36421318,
2072,65,1,36657270,
2073,65,1,37323313,
2074,65,1,38113606,
2075,65,1,38801186,
2076,65,1,39417780,
2077,65,1,40198644,
2078,65,1,40506960,
2079,65,1,40443938,
2080,65,1,39997939,
2081,65,1,39825336,
2082,65,1,40023071,
2083,65,1,39710477,
2084,65,1,39047748,
2085,65,1,38024153,
2086,65,1,36808155,
2087,65,1,35317952,
2088,65,1,34142434,
2089,65,1,33624010,
2090,65,1,33726780,
2091,65,1,33489290,
2092,65,1,32748616,
2093,65,1,32198733,
2094,65,1,31445243,
2095,65,1,30631597,
2096,65,1,30005309,
2097,65,1,29437881,
2098,65,1,28946453,
2099,65,1,28531715,
2100,65,1,28205821,
1990,70,1,8355504,
1991,70,1,8680976,
1992,70,1,9024348,
1993,70,1,9312012,
1994,70,1,9817714,
1995,70,1,10233226,
1996,70,1,10549385,
1997,70,1,10867644,
1998,70,1,11474832,
1999,70,1,11784429,
2000,70,1,12264253,
2001,70,1,12737705,
2002,70,1,13179201,
2003,70,1,13663168,
2004,70,1,14235994,
2005,70,1,14513896,
2006,70,1,14929363,
2007,70,1,15311007,
2008,70,1,15520771,
2009,70,1,15549030,
2010,70,1,15702343,
2011,70,1,15874997,
2012,70,1,16050347,
2013,70,1,16091770,
2014,70,1,16432716,
2015,70,1,16856890,
2016,70,1,17346364,
2017,70,1,18183491,
2018,70,1,19224079,
2019,70,1,20305994,
2020,70,1,22109038,
2021,70,1,23318956,
2022,70,1,25047149,
2023,70,1,26720918,
2024,70,1,28611331,
2025,70,1,30166327,
2026,70,1,31327721,
2027,70,1,32032419,
2028,70,1,32973235,
2029,70,1,31713876,
2030,70,1,30115404,
2031,70,1,27907889,
2032,70,1,27214785,
2033,70,1,30612503,
2034,70,1,34756598,
2035,70,1,38543451,
2036,70,1,43604260,
2037,70,1,46246601,
2038,70,1,45751703,
2039,70,1,46941223,
2040,70,1,47893060,
2041,70,1,48690332,
2042,70,1,49490530,
2043,70,1,49447697,
2044,70,1,48065507,
2045,70,1,46385909,
2046,70,1,44182349,
2047,70,1,42219203,
2048,70,1,40240379,
2049,70,1,38898859,
2050,70,1,38229144,
2051,70,1,37723866,
2052,70,1,40121196,
2053,70,1,40989581,
2054,70,1,41488454,
2055,70,1,42032124,
2056,70,1,43785300,
2057,70,1,45017458,
2058,70,1,47178984,
2059,70,1,49781483,
2060,70,1,54043961,
2061,70,1,54244498,
2062,70,1,52326913,
2063,70,1,50757131,
2064,70,1,48930477,
2065,70,1,45411478,
2066,70,1,44428238,
2067,70,1,43414868,
2068,70,1,42320264,
2069,70,1,40923859,
2070,70,1,39359648,
2071,70,1,37933355,
2072,70,1,36775573,
2073,70,1,35795194,
2074,70,1,35102691,
2075,70,1,34790539,
2076,70,1,34726351,
2077,70,1,34983223,
2078,70,1,35651172,
2079,70,1,36436130,
2080,70,1,37121307,
2081,70,1,37735391,
2082,70,1,38509722,
2083,70,1,38831135,
2084,70,1,38794298,
2085,70,1,38386311,
2086,70,1,38243989,
2087,70,1,38469014,
2088,70,1,38193416,
2089,70,1,37572599,
2090,70,1,36594600,
2091,70,1,35438271,
2092,70,1,34034276,
2093,70,1,32926600,
2094,70,1,32449552,
2095,70,1,32563503,
2096,70,1,32345861,
2097,70,1,31646169,
2098,70,1,31127878,
2099,70,1,30414154,
2100,70,1,29642209,
1990,75,1,4695104,
1991,75,1,4885381,
1992,75,1,5081390,
1993,75,1,5254923,
1994,75,1,5341042,
1995,75,1,5648873,
1996,75,1,5914003,
1997,75,1,6191837,
1998,75,1,6425851,
1999,75,1,6820031,
2000,75,1,7164108,
2001,75,1,7425764,
2002,75,1,7689632,
2003,75,1,8165347,
2004,75,1,8428369,
2005,75,1,8830520,
2006,75,1,9216150,
2007,75,1,9577938,
2008,75,1,9992588,
2009,75,1,10462228,
2010,75,1,10719755,
2011,75,1,11080719,
2012,75,1,11418135,
2013,75,1,11643335,
2014,75,1,11727571,
2015,75,1,11909391,
2016,75,1,12114000,
2017,75,1,12315517,
2018,75,1,12406776,
2019,75,1,12724492,
2020,75,1,13100409,
2021,75,1,13517889,
2022,75,1,14203634,
2023,75,1,15044243,
2024,75,1,15945037,
2025,75,1,17462921,
2026,75,1,18503039,
2027,75,1,20012569,
2028,75,1,21476924,
2029,75,1,23112762,
2030,75,1,24509178,
2031,75,1,25527072,
2032,75,1,26208769,
2033,75,1,27092165,
2034,75,1,26108008,
2035,75,1,24874570,
2036,75,1,23081623,
2037,75,1,22643498,
2038,75,1,25785129,
2039,75,1,29412247,
2040,75,1,32688916,
2041,75,1,36966767,
2042,75,1,39197126,
2043,75,1,38936657,
2044,75,1,40117488,
2045,75,1,41059351,
2046,75,1,41873867,
2047,75,1,42633209,
2048,75,1,42683601,
2049,75,1,41602094,
2050,75,1,40238709,
2051,75,1,38426064,
2052,75,1,36805500,
2053,75,1,35176941,
2054,75,1,34113693,
2055,75,1,33626197,
2056,75,1,33266198,
2057,75,1,35521513,
2058,75,1,36354242,
2059,75,1,36855798,
2060,75,1,37395156,
2061,75,1,39023463,
2062,75,1,40294032,
2063,75,1,42317720,
2064,75,1,44722015,
2065,75,1,48638252,
2066,75,1,48828668,
2067,75,1,47154011,
2068,75,1,45786695,
2069,75,1,44208912,
2070,75,1,41158354,
2071,75,1,40335956,
2072,75,1,39470056,
2073,75,1,38525547,
2074,75,1,37308069,
2075,75,1,35938494,
2076,75,1,34690540,
2077,75,1,33681673,
2078,75,1,32833352,
2079,75,1,32247948,
2080,75,1,32011462,
2081,75,1,31999395,
2082,75,1,32281303,
2083,75,1,32943692,
2084,75,1,33711793,
2085,75,1,34385241,
2086,75,1,34988160,
2087,75,1,35744355,
2088,75,1,36079826,
2089,75,1,36079067,
2090,75,1,35727508,
2091,75,1,35628568,
2092,75,1,35890072,
2093,75,1,35668893,
2094,75,1,35112398,
2095,75,1,34206937,
2096,75,1,33145808,
2097,75,1,31878787,
2098,75,1,30878678,
2099,75,1,30465419,
2100,75,1,30593847,
1990,80,1,1996834,
1991,80,1,2049731,
1992,80,1,2125305,
1993,80,1,2214763,
1994,80,1,2375546,
1995,80,1,2480664,
1996,80,1,2608464,
1997,80,1,2740821,
1998,80,1,2861906,
1999,80,1,2941571,
2000,80,1,3152978,
2001,80,1,3333863,
2002,80,1,3518685,
2003,80,1,3669621,
2004,80,1,3917780,
2005,80,1,4145336,
2006,80,1,4312381,
2007,80,1,4483139,
2008,80,1,4786071,
2009,80,1,4960626,
2010,80,1,5234342,
2011,80,1,5489599,
2012,80,1,5743768,
2013,80,1,6066633,
2014,80,1,6420271,
2015,80,1,6655268,
2016,80,1,6949923,
2017,80,1,7215556,
2018,80,1,7414475,
2019,80,1,7508458,
2020,80,1,7658636,
2021,80,1,7823665,
2022,80,1,7976658,
2023,80,1,8061119,
2024,80,1,8315919,
2025,80,1,8633934,
2026,80,1,9002238,
2027,80,1,9575683,
2028,80,1,10246376,
2029,80,1,10955799,
2030,80,1,12123289,
2031,80,1,12920635,
2032,80,1,14092409,
2033,80,1,15218440,
2034,80,1,16472792,
2035,80,1,17597987,
2036,80,1,18372372,
2037,80,1,18958363,
2038,80,1,19708417,
2039,80,1,19021497,
2040,80,1,18205052,
2041,80,1,16908352,
2042,80,1,16755420,
2043,80,1,19500235,
2044,80,1,22400139,
2045,80,1,24958037,
2046,80,1,28168252,
2047,80,1,29817596,
2048,80,1,29811158,
2049,80,1,30922837,
2050,80,1,31796376,
2051,80,1,32578981,
2052,80,1,33235162,
2053,80,1,33366173,
2054,80,1,32650062,
2055,80,1,31680108,
2056,80,1,30368734,
2057,80,1,29188740,
2058,80,1,28015531,
2059,80,1,27309398,
2060,80,1,27046361,
2061,80,1,26861101,
2062,80,1,28877913,
2063,80,1,29625695,
2064,80,1,30098887,
2065,80,1,30601491,
2066,80,1,32018071,
2067,80,1,33308575,
2068,80,1,35093645,
2069,80,1,37169408,
2070,80,1,40534944,
2071,80,1,40676166,
2072,80,1,39333774,
2073,80,1,38243004,
2074,80,1,37015095,
2075,80,1,34648268,
2076,80,1,34045899,
2077,80,1,33382080,
2078,80,1,32646184,
2079,80,1,31684070,
2080,80,1,30596455,
2081,80,1,29607381,
2082,80,1,28813541,
2083,80,1,28155551,
2084,80,1,27722637,
2085,80,1,27590035,
2086,80,1,27645192,
2087,80,1,27951729,
2088,80,1,28590098,
2089,80,1,29315935,
2090,80,1,29955228,
2091,80,1,30524991,
2092,80,1,31237016,
2093,80,1,31580618,
2094,80,1,31624257,
2095,80,1,31351108,
2096,80,1,31310333,
2097,80,1,31619380,
2098,80,1,31475053,
2099,80,1,31012356,
2100,80,1,30215449,
1990,85,1,606057,
1991,85,1,627505,
1992,85,1,641886,
1993,85,1,664892,
1994,85,1,695294,
1995,85,1,738937,
1996,85,1,770516,
1997,85,1,811071,
1998,85,1,858850,
1999,85,1,939489,
2000,85,1,995307,
2001,85,1,1061417,
2002,85,1,1131815,
2003,85,1,1198366,
2004,85,1,1250108,
2005,85,1,1361537,
2006,85,1,1457673,
2007,85,1,1556747,
2008,85,1,1639896,
2009,85,1,1771191,
2010,85,1,1898188,
2011,85,1,1991915,
2012,85,1,2086186,
2013,85,1,2246158,
2014,85,1,2348876,
2015,85,1,2511455,
2016,85,1,2666692,
2017,85,1,2821140,
2018,85,1,3016655,
2019,85,1,3219327,
2020,85,1,3355614,
2021,85,1,3514428,
2022,85,1,3653435,
2023,85,1,3768548,
2024,85,1,3839898,
2025,85,1,3954471,
2026,85,1,4093188,
2027,85,1,4236264,
2028,85,1,4344036,
2029,85,1,4539731,
2030,85,1,4772267,
2031,85,1,5038081,
2032,85,1,5426305,
2033,85,1,5865740,
2034,85,1,6331663,
2035,85,1,7085111,
2036,85,1,7601994,
2037,85,1,8371149,
2038,85,1,9109964,
2039,85,1,9935455,
2040,85,1,10711626,
2041,85,1,11230969,
2042,85,1,11669780,
2043,85,1,12223727,
2044,85,1,11834145,
2045,85,1,11396805,
2046,85,1,10611485,
2047,85,1,10645884,
2048,85,1,12692674,
2049,85,1,14702596,
2050,85,1,16442542,
2051,85,1,18548205,
2052,85,1,19629239,
2053,85,1,19785342,
2054,85,1,20697876,
2055,85,1,21412968,
2056,85,1,22074114,
2057,85,1,22591053,
2058,85,1,22772918,
2059,85,1,22403408,
2060,85,1,21834282,
2061,85,1,21038086,
2062,85,1,20316876,
2063,85,1,19610045,
2064,85,1,19243796,
2065,85,1,19175777,
2066,85,1,19142808,
2067,85,1,20759731,
2068,85,1,21368448,
2069,85,1,21776617,
2070,85,1,22207026,
2071,85,1,23324871,
2072,85,1,24494955,
2073,85,1,25918093,
2074,85,1,27537017,
2075,85,1,30146946,
2076,85,1,30247694,
2077,85,1,29308313,
2078,85,1,28554296,
2079,85,1,27733940,
2080,85,1,26143468,
2081,85,1,25782116,
2082,85,1,25351076,
2083,85,1,24860425,
2084,85,1,24202241,
2085,85,1,23451386,
2086,85,1,22771131,
2087,85,1,22232614,
2088,85,1,21797628,
2089,85,1,21536813,
2090,85,1,21510072,
2091,85,1,21624250,
2092,85,1,21933000,
2093,85,1,22505361,
2094,85,1,23142514,
2095,85,1,23707119,
2096,85,1,24208658,
2097,85,1,24832967,
2098,85,1,25163385,
2099,85,1,25248691,
2100,85,1,25071095,
1990,90,1,94520,
1991,90,1,103669,
1992,90,1,112794,
1993,90,1,121002,
1994,90,1,129654,
1995,90,1,137653,
1996,90,1,146150,
1997,90,1,152787,
1998,90,1,162081,
1999,90,1,173688,
2000,90,1,189397,
2001,90,1,201869,
2002,90,1,217895,
2003,90,1,237317,
2004,90,1,268620,
2005,90,1,292952,
2006,90,1,321629,
2007,90,1,352890,
2008,90,1,384001,
2009,90,1,412193,
2010,90,1,463478,
2011,90,1,508538,
2012,90,1,553221,
2013,90,1,589365,
2014,90,1,643193,
2015,90,1,695099,
2016,90,1,730847,
2017,90,1,767952,
2018,90,1,832214,
2019,90,1,874265,
2020,90,1,942458,
2021,90,1,1002849,
2022,90,1,1061357,
2023,90,1,1142354,
2024,90,1,1228479,
2025,90,1,1294769,
2026,90,1,1375407,
2027,90,1,1453039,
2028,90,1,1526798,
2029,90,1,1578167,
2030,90,1,1648264,
2031,90,1,1732393,
2032,90,1,1818128,
2033,90,1,1887421,
2034,90,1,1996981,
2035,90,1,2125796,
2036,90,1,2272868,
2037,90,1,2481385,
2038,90,1,2711123,
2039,90,1,2956711,
2040,90,1,3354202,
2041,90,1,3623374,
2042,90,1,4036495,
2043,90,1,4430966,
2044,90,1,4874292,
2045,90,1,5312813,
2046,90,1,5589978,
2047,90,1,5854168,
2048,90,1,6187901,
2049,90,1,6000047,
2050,90,1,5818148,
2051,90,1,5423235,
2052,90,1,5536821,
2053,90,1,6838813,
2054,90,1,7998180,
2055,90,1,8968694,
2056,90,1,10088765,
2057,90,1,10651425,
2058,90,1,10849629,
2059,90,1,11477512,
2060,90,1,11960393,
2061,90,1,12419478,
2062,90,1,12747364,
2063,90,1,12907445,
2064,90,1,12779227,
2065,90,1,12516823,
2066,90,1,12134673,
2067,90,1,11785219,
2068,90,1,11456244,
2069,90,1,11342248,
2070,90,1,11392745,
2071,90,1,11445961,
2072,90,1,12568270,
2073,90,1,12980610,
2074,90,1,13270074,
2075,90,1,13576648,
2076,90,1,14331582,
2077,90,1,15257054,
2078,90,1,16226740,
2079,90,1,17300295,
2080,90,1,19034919,
2081,90,1,19063280,
2082,90,1,18503741,
2083,90,1,18065984,
2084,90,1,17627434,
2085,90,1,16783787,
2086,90,1,16627696,
2087,90,1,16404301,
2088,90,1,16139796,
2089,90,1,15773488,
2090,90,1,15351985,
2091,90,1,14973466,
2092,90,1,14681204,
2093,90,1,14457670,
2094,90,1,14351147,
2095,90,1,14402731,
2096,90,1,14543231,
2097,90,1,14813074,
2098,90,1,15265247,
2099,90,1,15756526,
2100,90,1,16193236,
1990,95,1,14549,
1991,95,1,12353,
1992,95,1,11123,
1993,95,1,10727,
1994,95,1,10445,
1995,95,1,11751,
1996,95,1,13393,
1997,95,1,14985,
1998,95,1,16455,
1999,95,1,18026,
2000,95,1,19657,
2001,95,1,21520,
2002,95,1,23223,
2003,95,1,25590,
2004,95,1,28593,
2005,95,1,32681,
2006,95,1,36389,
2007,95,1,41019,
2008,95,1,46663,
2009,95,1,55378,
2010,95,1,62760,
2011,95,1,71300,
2012,95,1,80336,
2013,95,1,89072,
2014,95,1,96919,
2015,95,1,110375,
2016,95,1,121587,
2017,95,1,132788,
2018,95,1,141688,
2019,95,1,155707,
2020,95,1,169605,
2021,95,1,178412,
2022,95,1,187637,
2023,95,1,204764,
2024,95,1,217042,
2025,95,1,238460,
2026,95,1,258023,
2027,95,1,278547,
2028,95,1,307675,
2029,95,1,337104,
2030,95,1,361075,
2031,95,1,389868,
2032,95,1,417965,
2033,95,1,446353,
2034,95,1,467352,
2035,95,1,494916,
2036,95,1,528267,
2037,95,1,562362,
2038,95,1,591191,
2039,95,1,634231,
2040,95,1,685051,
2041,95,1,743388,
2042,95,1,824681,
2043,95,1,912215,
2044,95,1,1006734,
2045,95,1,1161310,
2046,95,1,1263390,
2047,95,1,1427269,
2048,95,1,1582445,
2049,95,1,1758593,
2050,95,1,1941492,
2051,95,1,2049278,
2052,95,1,2166052,
2053,95,1,2315066,
2054,95,1,2244800,
2055,95,1,2193962,
2056,95,1,2045228,
2057,95,1,2138588,
2058,95,1,2766701,
2059,95,1,3267650,
2060,95,1,3668709,
2061,95,1,4109704,
2062,95,1,4323153,
2063,95,1,4462155,
2064,95,1,4788039,
2065,95,1,5031466,
2066,95,1,5268831,
2067,95,1,5423044,
2068,95,1,5519639,
2069,95,1,5506402,
2070,95,1,5424013,
2071,95,1,5296905,
2072,95,1,5179509,
2073,95,1,5079724,
2074,95,1,5086733,
2075,95,1,5160987,
2076,95,1,5225012,
2077,95,1,5836170,
2078,95,1,6046045,
2079,95,1,6199796,
2080,95,1,6366567,
2081,95,1,6766965,
2082,95,1,7337655,
2083,95,1,7849494,
2084,95,1,8400476,
2085,95,1,9303999,
2086,95,1,9278968,
2087,95,1,9018397,
2088,95,1,8826364,
2089,95,1,8665701,
2090,95,1,8361913,
2091,95,1,8330641,
2092,95,1,8250318,
2093,95,1,8149246,
2094,95,1,8002805,
2095,95,1,7832811,
2096,95,1,7683244,
2097,95,1,7573871,
2098,95,1,7501173,
2099,95,1,7491261,
2100,95,1,7566325,
1990,100,1,1555,
1991,100,1,1537,
1992,100,1,1429,
1993,100,1,1191,
1994,100,1,1027,
1995,100,1,940,
1996,100,1,841,
1997,100,1,797,
1998,100,1,794,
1999,100,1,797,
2000,100,1,937,
2001,100,1,1099,
2002,100,1,1263,
2003,100,1,1432,
2004,100,1,1625,
2005,100,1,1862,
2006,100,1,2153,
2007,100,1,2441,
2008,100,1,2829,
2009,100,1,3321,
2010,100,1,3988,
2011,100,1,4628,
2012,100,1,5398,
2013,100,1,6315,
2014,100,1,7680,
2015,100,1,8769,
2016,100,1,9993,
2017,100,1,11315,
2018,100,1,12611,
2019,100,1,13855,
2020,100,1,15979,
2021,100,1,17670,
2022,100,1,19344,
2023,100,1,20664,
2024,100,1,23001,
2025,100,1,25600,
2026,100,1,27418,
2027,100,1,29567,
2028,100,1,33217,
2029,100,1,36041,
2030,100,1,40666,
2031,100,1,44751,
2032,100,1,49118,
2033,100,1,55559,
2034,100,1,61815,
2035,100,1,67315,
2036,100,1,73845,
2037,100,1,80365,
2038,100,1,87544,
2039,100,1,93176,
2040,100,1,100368,
2041,100,1,109228,
2042,100,1,118281,
2043,100,1,126324,
2044,100,1,137567,
2045,100,1,151009,
2046,100,1,166616,
2047,100,1,187861,
2048,100,1,209982,
2049,100,1,234470,
2050,100,1,274953,
2051,100,1,301056,
2052,100,1,345741,
2053,100,1,387569,
2054,100,1,435736,
2055,100,1,490199,
2056,100,1,519416,
2057,100,1,558692,
2058,100,1,607731,
2059,100,1,595538,
2060,100,1,596796,
2061,100,1,564599,
2062,100,1,612909,
2063,100,1,823617,
2064,100,1,960056,
2065,100,1,1062962,
2066,100,1,1165559,
2067,100,1,1221130,
2068,100,1,1313588,
2069,100,1,1448214,
2070,100,1,1544266,
2071,100,1,1640745,
2072,100,1,1695326,
2073,100,1,1747752,
2074,100,1,1783105,
2075,100,1,1788061,
2076,100,1,1784840,
2077,100,1,1775961,
2078,100,1,1776455,
2079,100,1,1810547,
2080,100,1,1855244,
2081,100,1,1889530,
2082,100,1,2117645,
2083,100,1,2183574,
2084,100,1,2241561,
2085,100,1,2310394,
2086,100,1,2463509,
2087,100,1,2751226,
2088,100,1,2942086,
2089,100,1,3139564,
2090,100,1,3472339,
2091,100,1,3464727,
2092,100,1,3443173,
2093,100,1,3433666,
2094,100,1,3455103,
2095,100,1,3487181,
2096,100,1,3497752,
2097,100,1,3481157,
2098,100,1,3461865,
2099,100,1,3438520,
2100,100,1,3412654,
1990,0,2,64001964,
1991,0,2,63751223,
1992,0,2,60967472,
1993,0,2,58634682,
1994,0,2,55081750,
1995,0,2,49773001,
1996,0,2,48208755,
1997,0,2,46649536,
1998,0,2,45034240,
1999,0,2,43114427,
